2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married
Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married
Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female
Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female
Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married
Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married
Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months
Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months
Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households
Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households
Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households
Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households
"Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
"Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
"Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
"Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Hispanic or Latino origin (of any race)!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households
Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Hispanic or Latino origin (of any race)!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Hispanic or Latino origin (of any race)!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households
Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years
Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 16 to 19 years,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 16 to 19 years,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years
Hispanic or Latino origin (of any race)!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force
Hispanic or Latino origin (of any race)!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force
Hispanic or Latino origin (of any race)!!Estimate!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Estimate!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Estimate!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Estimate!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Estimate!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Estimate!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Estimate!!LABOR FORCE STATUS!!In the labor force,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Estimate!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force
Hispanic or Latino origin (of any race)!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Hispanic or Latino origin (of any race)!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force
